C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/21/2017,03:00:00,REGULAR,6414560,2170353
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/20/2017,23:00:00,REGULAR,6414520,2170349
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/20/2017,19:00:00,REGULAR,6414228,2170304
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/20/2017,15:00:00,REGULAR,6413380,2170233
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/20/2017,11:00:00,REGULAR,6413157,2170156
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/20/2017,07:00:00,REGULAR,6413000,2169854
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/20/2017,03:00:00,REGULAR,6412986,2169804
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/19/2017,23:00:00,REGULAR,6412958,2169799
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/19/2017,19:00:00,REGULAR,6412811,2169765
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/19/2017,15:00:00,REGULAR,6412528,2169683
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/19/2017,11:00:00,REGULAR,6412312,2169630
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/19/2017,07:00:00,REGULAR,6412255,2169567
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/19/2017,03:00:00,REGULAR,6412239,2169559
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/18/2017,23:00:00,REGULAR,6412198,2169545
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/18/2017,19:00:00,REGULAR,6412009,2169509
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/18/2017,15:00:00,REGULAR,6411662,2169437
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/18/2017,11:00:00,REGULAR,6411434,2169371
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/18/2017,07:00:00,REGULAR,6411340,2169273
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/18/2017,03:00:00,REGULAR,6411321,2169259
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,23:00:00,REGULAR,6411282,2169250
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,19:00:00,REGULAR,6410994,2169225
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,15:00:00,REGULAR,6410211,2169127
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,11:00:00,REGULAR,6409943,2169062
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,09:18:15,REGULAR,6409887,2168953
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,07:00:00,REGULAR,6409806,2168731
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/17/2017,03:00:00,REGULAR,6409792,2168693
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/16/2017,23:00:00,REGULAR,6409776,2168693
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/16/2017,19:00:00,REGULAR,6409479,2168661
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/16/2017,15:00:00,REGULAR,6408663,2168575
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/16/2017,11:00:00,REGULAR,6408441,2168502
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/16/2017,07:00:00,REGULAR,6408299,2168158
